quantile,uni_uni,cauchy_beta,mixt_norm,weibull_exp
0.1,-78.4,-0.400520630147229,-2.99999898291075,0.105360515657826
0.2,-167.8,-0.39541703386497,-2.99999129033028,0.22314355131421
0.3,-257.2,-0.426145476931226,-2.99995330603914,0.356674943938732
0.4,-346.6,-0.462500082298118,-2.99976817927445,0.510825623765991
0.5,-436,-0.5,-2.99861510666503,0.693147180559945
0.6,-525.4,-0.537499917701882,-2.98192270173966,0.916290731874155
0.7,-614.8,-0.573854523068774,4.93381434832535,1.20397280432594
0.8,-704.2,-0.60458296613503,4.99907403938685,1.6094379124341
0.9,-793.6,-0.599479369852771,4.9999651633468,2.30258509299405
